"id","order","score","weight","color","label"
"Jt","10","377","270","#f1e05a","JavaScript"
"Pn","10","82","105","#3572A5","Python"
"Ja","10","81","151","#b07219","Java"
"C+","10","39","50","#f34b7d","C++"
"Ry","10","35","43","#701516","Ruby"
"Go","10","58","38","#375eab","Go"
"HL","10","34","50","#e44b23","HTML"
"CS","10","30","32","#563d7c","CSS"
"OC","10","32","31","#438eff","Objective-C"
"CC","10","27","33","#555555","C"
"PP","10","25","32","#4F5D95","PHP"
"Sl","10","24","19","#89e051","Shell"
"Jk","10","11","21","#DA5B0B","Jupyter Notebook"
"Tt","10","28","15","#2b7489","TypeScript"
"St","10","29","13","#ffac45","Swift"
"C#","10","10","19","#178600","C#"
"Kn","10","10","8","#F18E33","Kotlin"
